
********************************************************************************
Slippage report report produced on 10/05/2023 22:35 from 02/09/2022 22:35 to 10/05/2023 22:35
********************************************************************************


Slippage calculations: First three columns are slippage (mid to executed price) from 3 sources:
- bid_ask_trades: The difference between the mid price and bid/ask price when a trade is entered
- total_trades: The difference between the mid price and actual fill price when a trade occurs
- bid_ask_sampled: The difference between mid and bid/ask when a regular sample is taken, not when trading

The following three columns show how our estimate of slippage is calculated using weights
- weight_trades: Weighting given to trades (most conservative of bid_ask_trades and total_trades)
- weight_samples: Weighting given to samples
- weight_config: Weighting given to current configured value

The weights vary depending on how many trades and samples we have

Finally we have:
- The estimate based on the calculations above
- The current configured value
- The % difference between these values (estimate and configured). Positive means the estimate is higher (costs not conservative enough)

==============================================================================================================================================
                                                      Check of slippage, in price units                                                       
==============================================================================================================================================

                 bid_ask_trades  total_trades  bid_ask_sampled  weight_trades  weight_samples  weight_config  estimate  Configured  Difference
CAC_fsb                     NaN           NaN           2.0000            0.0            0.90           0.10    2.0000      2.0000         0.0
HEATOIL_fsb                 NaN           NaN          15.0000            0.0            0.90           0.10   15.0000     15.0000         0.0
HANG_fsb                    NaN           NaN           8.0000            0.0            0.92           0.08    8.0000      8.0000         0.0
COCOA_fsb                   NaN           NaN           4.0000            0.0            0.46           0.54    4.0000      4.0000         0.0
PALLAD_fsb                  NaN           NaN           4.0000            0.0            0.80           0.20    4.0000      4.0000        -0.0
SOYMEAL_fsb                 NaN           NaN          40.0000            0.0            0.76           0.24   40.0000     40.0000        -0.0
DOW_fsb                     NaN           NaN           3.6000            0.0            0.93           0.07    3.6000      3.6000        -0.0
DX_fsb                      NaN           NaN           3.9429            0.0            0.90           0.10    3.9446      3.9600        -0.4
EUR_fsb                     NaN           NaN           5.3857            0.0            0.93           0.07    5.3896      5.4400        -0.9
AUD_fsb                     NaN           NaN           5.3450            0.0            0.93           0.07    5.3489      5.4000        -0.9
COTTON2_fsb                 NaN           NaN          12.5000            0.0            0.72           0.28   12.5769     12.7700        -1.5
CHF_fsb                     NaN           NaN           4.8550            0.0            0.93           0.07    4.8625      4.9600        -2.0
